Modeles avec overshooting et nouvelles opacites, Z=0.008, 1 X Mdot, Schaerer et 

  22   51

  120.00 WR

 1 7.0005322E+03 119.9892 6.230 4.744 0.728000 0.264000 0.001786 0.000559 0.004243  4.744 -5.976
 2 5.7720388E+05 118.8500 6.261 4.724 0.728000 0.264000 0.001786 0.000559 0.004243  4.724 -5.563
 3 9.7027381E+05 117.4846 6.283 4.711 0.728000 0.264000 0.001786 0.000559 0.004243  4.711 -5.363
 4 1.3171003E+06 115.5418 6.302 4.694 0.728000 0.264000 0.001786 0.000559 0.004243  4.694 -5.149
 5 1.6408048E+06 112.4187 6.320 4.665 0.728000 0.264000 0.001786 0.000559 0.004243  4.665 -4.900
 6 1.9182659E+06 107.7764 6.334 4.623 0.728000 0.264000 0.001786 0.000559 0.004243  4.623 -4.676
 7 2.1872875E+06 101.0551 6.350 4.593 0.672905 0.319282 0.000098 0.005491 0.000867  4.593 -4.562
 8 2.3685620E+06  95.8529 6.362 4.585 0.597968 0.394298 0.000108 0.006018 0.000247  4.585 -4.523
 9 2.5328423E+06  90.6558 6.375 4.569 0.518845 0.473435 0.000111 0.006106 0.000142  4.569 -4.479
10 2.6404740E+06  86.9667 6.385 4.562 0.460750 0.531533 0.000113 0.006118 0.000126  4.562 -4.453
11 2.7062285E+06  84.6122 6.392 4.564 0.424012 0.568271 0.000114 0.006120 0.000122  4.564 -4.439
12 2.7662910E+06  82.3309 6.401 4.368 0.386397 0.605886 0.000115 0.006120 0.000120  4.587 -4.398
13 2.7790760E+06  81.8195 6.415 4.424 0.379230 0.613054 0.000115 0.006120 0.000119  4.672 -4.398
14 2.7802503E+06  81.7725 6.427 4.450 0.378310 0.613974 0.000115 0.006120 0.000119  4.713 -4.398
15 2.7828710E+06  81.6677 6.438 4.383 0.376197 0.616086 0.000115 0.006120 0.000119  4.601 -4.398
16 2.7831930E+06  81.6548 6.445 4.322 0.375924 0.616360 0.000115 0.006120 0.000119  4.479 -4.398
