Models with overshooting and the new opacities, 1 X Mdot, Schaller et al.       

  22   51

  120.00 WR

48 2.9908468E+06   7.6184 5.380 4.785 0.000000 0.119886 0.350897 0.000000 0.501343  5.292 -4.795
49 2.9908590E+06   7.6182 5.383 4.785 0.000000 0.119883 0.350894 0.000000 0.501349  5.293 -4.795
50 2.9908710E+06   7.6180 5.386 4.787 0.000000 0.119880 0.350891 0.000000 0.501356  5.295 -4.795
51 2.9908848E+06   7.6178 5.404 4.793 0.000000 0.119788 0.350773 0.000000 0.501564  5.299 -4.795

   85.00 WR

 1 2.0001521E+04  84.9687 6.006 4.705 0.680000 0.300000 0.004466 0.001397 0.010607  4.705 -6.389
 2 3.1967431E+05  84.5653 6.024 4.696 0.680000 0.300000 0.004466 0.001397 0.010607  4.696 -5.806
 3 7.8258450E+05  83.6364 6.051 4.682 0.680000 0.300000 0.004466 0.001397 0.010607  4.682 -5.600
 4 1.1849196E+06  82.3445 6.075 4.665 0.680000 0.300000 0.004466 0.001397 0.010607  4.665 -5.398
 5 1.5491638E+06  80.4603 6.096 4.642 0.680000 0.300000 0.004466 0.001397 0.010607  4.642 -5.184
 6 1.8812688E+06  77.6108 6.114 4.603 0.680000 0.300000 0.004466 0.001397 0.010607  4.603 -4.957
 7 2.1714858E+06  73.5285 6.129 4.540 0.680000 0.300000 0.004465 0.001397 0.010607  4.540 -4.767
 8 2.3709630E+06  69.8029 6.142 4.475 0.676664 0.302714 0.000113 0.006956 0.010126  4.475 -4.706
 9 2.5546920E+06  66.1133 6.157 4.438 0.616673 0.363411 0.000184 0.011694 0.004594  4.438 -4.691
10 2.6663205E+06  63.8211 6.168 4.417 0.569431 0.410867 0.000207 0.013123 0.002923  4.417 -4.684
11 2.7752850E+06  61.5851 6.181 4.382 0.524858 0.455557 0.000220 0.013905 0.002006  4.382 -4.687
12 2.8221125E+06  60.5859 6.199 4.446 0.501114 0.479344 0.000226 0.014192 0.001670  4.446 -4.623
13 2.8227913E+06  60.5692 6.206 4.478 0.500782 0.479676 0.000226 0.014196 0.001665  4.478 -4.596
14 2.8238665E+06  60.5412 6.217 4.524 0.500233 0.480226 0.000226 0.014202 0.001658  4.524 -4.580
15 2.8254493E+06  60.4992 6.217 4.454 0.499320 0.481140 0.000226 0.014211 0.001647  4.454 -4.589
16 2.8259818E+06  60.4863 6.219 4.371 0.499046 0.481415 0.000226 0.014214 0.001644  4.371 -4.645
17 2.8263545E+06  60.4782 6.222 4.287 0.498874 0.481588 0.000226 0.014216 0.001642  4.287 -4.657
18 2.8266743E+06  60.4701 6.224 4.182 0.498302 0.482160 0.000226 0.014222 0.001635  4.182 -4.537
19 2.8296035E+06  51.9462 6.271 4.253 0.267233 0.713377 0.000267 0.015139 0.000518  4.377 -4.398
20 2.8334900E+06  51.7907 6.290 4.014 0.259951 0.720660 0.000269 0.015147 0.000506  4.014 -4.398
21 2.8346665E+06  51.6040 6.295 4.365 0.179368 0.801263 0.000298 0.015200 0.000395  4.579 -4.398
22 2.8418275E+06  51.3175 6.297 4.338 0.178947 0.801684 0.000300 0.015199 0.000395  4.537 -4.398
23 2.8539760E+06  50.8316 6.297 4.344 0.178284 0.802348 0.000300 0.015199 0.000394  4.545 -4.398
24 2.8654853E+06  50.3712 6.297 4.349 0.178028 0.802603 0.000298 0.015202 0.000394  4.552 -4.398
25 2.8776335E+06  49.8853 6.296 4.364 0.177908 0.802723 0.000296 0.015205 0.000394  4.578 -4.398
26 2.8897820E+06  49.3993 6.294 4.378 0.177803 0.802827 0.000293 0.015209 0.000394  4.600 -4.398
27 2.9025700E+06  48.8878 6.293 4.402 0.176333 0.804297 0.000289 0.015217 0.000392  4.640 -4.398
28 2.9153580E+06  48.3763 6.289 4.428 0.175779 0.804849 0.000280 0.015231 0.000391  4.682 -4.398
